Days,Mag
0.1,22.25
0.2,21.75
0.3,21.5
0.4,21.25
0.5,21.1
0.6,21
0.7,21
0.8,21.1
0.9,21.25
1,21.3
2,22.25
3,23
4,23.75
5,24.15
